,지역,예측시간,혼잡도,예측최소인구,예측최대인구,시간,시간대
380,북서울꿈의숲,2025-04-15 18:00,여유,3000,3500,18,저녁
381,북서울꿈의숲,2025-04-15 19:00,여유,3500,4000,19,저녁
382,북서울꿈의숲,2025-04-15 20:00,여유,3500,4000,20,저녁
383,북서울꿈의숲,2025-04-15 21:00,여유,4000,4500,21,밤
384,불광천,2025-04-15 18:00,여유,44000,46000,18,저녁
385,불광천,2025-04-15 19:00,여유,46000,48000,19,저녁
386,불광천,2025-04-15 20:00,보통,48000,50000,20,저녁
387,불광천,2025-04-15 21:00,보통,50000,52000,21,밤
388,서리풀공원·몽마르뜨공원,2025-04-15 18:00,약간 붐빔,4500,5000,18,저녁
389,서리풀공원·몽마르뜨공원,2025-04-15 19:00,보통,4000,4500,19,저녁
390,서리풀공원·몽마르뜨공원,2025-04-15 20:00,여유,3000,3500,20,저녁
391,서리풀공원·몽마르뜨공원,2025-04-15 21:00,여유,2500,3000,21,밤
392,서울광장,2025-04-15 18:00,약간 붐빔,1500,2000,18,저녁
393,서울광장,2025-04-15 19:00,약간 붐빔,1500,2000,19,저녁
394,서울광장,2025-04-15 20:00,보통,1000,1500,20,저녁
395,서울광장,2025-04-15 21:00,여유,1000,1500,21,밤
396,서울대공원,2025-04-15 18:00,여유,900,1000,18,저녁
397,서울대공원,2025-04-15 19:00,여유,700,800,19,저녁
398,서울대공원,2025-04-15 20:00,여유,500,600,20,저녁
399,서울대공원,2025-04-15 21:00,여유,400,500,21,밤
400,서울숲공원,2025-04-15 18:00,보통,8000,8500,18,저녁
401,서울숲공원,2025-04-15 19:00,보통,7500,8000,19,저녁
402,서울숲공원,2025-04-15 20:00,보통,6500,7000,20,저녁
403,서울숲공원,2025-04-15 21:00,보통,7000,7500,21,밤
404,아차산,2025-04-15 18:00,여유,4000,4500,18,저녁
405,아차산,2025-04-15 19:00,여유,4500,5000,19,저녁
406,아차산,2025-04-15 20:00,여유,4500,5000,20,저녁
407,아차산,2025-04-15 21:00,여유,4500,5000,21,밤
408,양화한강공원,2025-04-15 18:00,보통,1000,1500,18,저녁
409,양화한강공원,2025-04-15 19:00,붐빔,1500,2000,19,저녁
410,양화한강공원,2025-04-15 20:00,보통,1000,1500,20,저녁
411,양화한강공원,2025-04-15 21:00,여유,800,900,21,밤
412,어린이대공원,2025-04-15 18:00,보통,5000,5500,18,저녁
413,어린이대공원,2025-04-15 19:00,여유,5000,5500,19,저녁
414,어린이대공원,2025-04-15 20:00,여유,4500,5000,20,저녁
415,어린이대공원,2025-04-15 21:00,여유,4500,5000,21,밤
416,여의도한강공원,2025-04-15 18:00,보통,3500,4000,18,저녁
417,여의도한강공원,2025-04-15 19:00,보통,3000,3500,19,저녁
418,여의도한강공원,2025-04-15 20:00,여유,2500,3000,20,저녁
419,여의도한강공원,2025-04-15 21:00,여유,1500,2000,21,밤
420,월드컵공원,2025-04-15 18:00,보통,7500,8000,18,저녁
421,월드컵공원,2025-04-15 19:00,보통,7500,8000,19,저녁
422,월드컵공원,2025-04-15 20:00,보통,7000,7500,20,저녁
423,월드컵공원,2025-04-15 21:00,보통,6500,7000,21,밤
424,응봉산,2025-04-15 18:00,보통,2500,3000,18,저녁
425,응봉산,2025-04-15 19:00,보통,3000,3500,19,저녁
426,응봉산,2025-04-15 20:00,보통,3000,3500,20,저녁
427,응봉산,2025-04-15 21:00,여유,2500,3000,21,밤
428,이촌한강공원,2025-04-15 18:00,보통,3000,3500,18,저녁
429,이촌한강공원,2025-04-15 19:00,보통,3000,3500,19,저녁
430,이촌한강공원,2025-04-15 20:00,보통,3000,3500,20,저녁
431,이촌한강공원,2025-04-15 21:00,여유,2500,3000,21,밤
432,잠실종합운동장,2025-04-15 18:00,여유,2500,3000,18,저녁
433,잠실종합운동장,2025-04-15 19:00,여유,2500,3000,19,저녁
434,잠실종합운동장,2025-04-15 20:00,여유,2500,3000,20,저녁
435,잠실종합운동장,2025-04-15 21:00,여유,2000,2500,21,밤
436,잠실한강공원,2025-04-15 18:00,약간 붐빔,2000,2500,18,저녁
437,잠실한강공원,2025-04-15 19:00,약간 붐빔,2000,2500,19,저녁
438,잠실한강공원,2025-04-15 20:00,약간 붐빔,2000,2500,20,저녁
439,잠실한강공원,2025-04-15 21:00,약간 붐빔,2000,2500,21,밤
440,잠원한강공원,2025-04-15 18:00,약간 붐빔,1500,2000,18,저녁
441,잠원한강공원,2025-04-15 19:00,약간 붐빔,1500,2000,19,저녁
442,잠원한강공원,2025-04-15 20:00,약간 붐빔,1000,1500,20,저녁
443,잠원한강공원,2025-04-15 21:00,보통,1000,1500,21,밤
444,청계산,2025-04-15 18:00,여유,1000,1500,18,저녁
445,청계산,2025-04-15 19:00,여유,1000,1500,19,저녁
446,청계산,2025-04-15 20:00,여유,1000,1500,20,저녁
447,청계산,2025-04-15 21:00,여유,700,800,21,밤
448,청와대,2025-04-15 18:00,여유,100,200,18,저녁
449,청와대,2025-04-15 19:00,여유,0,0,19,저녁
450,청와대,2025-04-15 20:00,여유,0,0,20,저녁
451,청와대,2025-04-15 21:00,여유,0,0,21,밤
452,북창동 먹자골목,2025-04-15 18:00,보통,7000,7500,18,저녁
453,북창동 먹자골목,2025-04-15 19:00,보통,7000,7500,19,저녁
454,북창동 먹자골목,2025-04-15 20:00,보통,6500,7000,20,저녁
455,북창동 먹자골목,2025-04-15 21:00,여유,5000,5500,21,밤
456,남대문시장,2025-04-15 18:00,보통,9000,9500,18,저녁
457,남대문시장,2025-04-15 19:00,여유,7000,7500,19,저녁
458,남대문시장,2025-04-15 20:00,여유,5000,5500,20,저녁
459,남대문시장,2025-04-15 21:00,여유,3500,4000,21,밤
460,익선동,2025-04-15 18:00,약간 붐빔,12000,14000,18,저녁
461,익선동,2025-04-15 19:00,약간 붐빔,10000,12000,19,저녁
462,익선동,2025-04-15 20:00,보통,10000,12000,20,저녁
463,익선동,2025-04-15 21:00,보통,9500,10000,21,밤
